"sample"	"n_cell_types"	"cell_count"	"lib_factor"	"Phi_factor"	"SC_rep"	"ST_rep"	"alpha0"	"alpha1"	"CARD_rmse"	"Ave_rmse"	"Median_rmse"	"j"	"WAIC"	"PercentMedianDiff"	"PercentMeanDiff"
2	12	10	0.05	50	1	1	-0.1	0.1	0.000768596209418644	0.000663379337478856	0.00066502805015538	1	153391.617001027	13.4749765864188	13.6894861892922
2	12	10	0.05	50	1	1	0	0.1	0.000768596209418644	0.000736043204843033	0.000740085555031185	2	1360790.2686236	3.70944509458671	4.23538448104418
2	12	10	0.05	50	1	1	0.1	0.1	0.000768596209418644	0.000747550588115488	0.000750272193639538	3	5023370.66600946	2.38408875226782	2.73818957799373
2	12	10	0.05	50	1	1	-0.1	0.3	0.000768596209418644	0.000653667262654742	0.000655008085767846	4	46674.4493827639	14.7786473910293	14.9530983051339
2	12	10	0.05	50	1	1	0	0.3	0.000768596209418644	0.000728610655988637	0.000732769019948851	5	667726.396653159	4.66137993275978	5.20241356124459
2	12	10	0.05	50	1	1	0.1	0.3	0.000768596209418644	0.000746555297667471	0.000749452355706129	6	2835678.21221712	2.49075567611698	2.86768415991082
2	12	10	0.05	50	1	1	-0.1	0.5	0.000768596209418644	0.000651356805290595	0.000651706551339185	7	12610.0989477753	15.2082012176294	15.2537057418912
2	12	10	0.05	50	1	1	0	0.5	0.000768596209418644	0.000720652257124141	0.000724935308734516	8	358683.554816754	5.68060317616621	6.237859581791
2	12	10	0.05	50	1	1	0.1	0.5	0.000768596209418644	0.000745870344422007	0.00074900866750193	9	1720080.91057841	2.5484827633394	2.95680159726865
2	12	10	0.05	50	2	1	-0.1	0.1	0.000763192544617407	0.000708220328048795	0.000709391434836009	10	130948.825662241	7.04948052242434	7.20292892747922
2	12	10	0.05	50	2	1	0	0.1	0.000763192544617407	0.000757215753679978	0.000760987339465716	11	1420878.87441169	0.288944797383595	0.783130152355604
2	12	10	0.05	50	2	1	0.1	0.1	0.000763192544617407	0.00075384350518748	0.000755847983247241	12	5144462.84831433	0.962347106502237	1.22499092736997
2	12	10	0.05	50	2	1	-0.1	0.3	0.000763192544617407	0.000720677617652076	0.000717456553371032	13	24742.5419543348	5.99271986721293	5.57066853773367
2	12	10	0.05	50	2	1	0	0.3	0.000763192544617407	0.000747679822475414	0.000751625089258108	14	701149.650687026	1.51566671358124	2.03260923490409
2	12	10	0.05	50	2	1	0.1	0.3	0.000763192544617407	0.000747265371860351	0.000749292478873929	15	2920515.66567911	1.82130523175463	2.08691409125864
2	12	10	0.05	50	2	1	-0.1	0.5	0.000763192544617407	0.000746304107702408	0.000742906357623019	16	3411.60811293704	2.65806933485676	2.21286712430683
2	12	10	0.05	50	2	1	0	0.5	0.000763192544617407	0.000739418824728401	0.00074342172176217	17	378239.741357572	2.59054192741732	3.11503565603145
2	12	10	0.05	50	2	1	0.1	0.5	0.000763192544617407	0.000745984208678629	0.000747991670487539	18	1781749.12789419	1.99174824715936	2.2547830243029
2	12	10	0.05	50	3	1	-0.1	0.1	0.000782682689873535	0.000726760596295711	0.000727608174789225	19	173850.44456536	7.03663384879616	7.14492530643037
2	12	10	0.05	50	3	1	0	0.1	0.000782682689873535	0.000784290636531032	0.000788275695650295	20	1703240.244127	-0.71459428566949	-0.205440426663417
2	12	10	0.05	50	3	1	0.1	0.1	0.000782682689873535	0.000776941637109478	0.000778707768952485	21	5943945.2075551	0.507858545037232	0.733509612303362
2	12	10	0.05	50	3	1	-0.1	0.3	0.000782682689873535	0.000730756915836073	0.000728912767866435	22	36490.1842712982	6.8699516039875	6.63433275186551
2	12	10	0.05	50	3	1	0	0.3	0.000782682689873535	0.000779591201143846	0.000783814317662113	23	850100.228713107	-0.144583214017602	0.394986214680237
2	12	10	0.05	50	3	1	0.1	0.3	0.000782682689873535	0.000776542771660548	0.000778492028170944	24	3398121.31672681	0.535422816527076	0.784470934700099
2	12	10	0.05	50	3	1	-0.1	0.5	0.000782682689873535	0.000748355487218021	0.000743677111875811	25	5245.59865701876	4.98357488959245	4.38583899959003
2	12	10	0.05	50	3	1	0	0.5	0.000782682689873535	0.000772804707556552	0.000776818657603808	26	460865.407457492	0.749222174656095	1.26206730323607
2	12	10	0.05	50	3	1	0.1	0.5	0.000782682689873535	0.000776106957996537	0.000778050582953509	27	2069591.25669853	0.591824372757566	0.84015297157789
2	12	10	0.05	50	4	1	-0.1	0.1	0.000778337583783906	0.000752915185944388	0.000754611236777525	28	232724.430528382	3.0483362875829	3.2662431275548
2	12	10	0.05	50	4	1	0	0.1	0.000778337583783906	0.000779727026583191	0.000783635415899936	29	1682364.73856031	-0.680659938104822	-0.178514159952292
2	12	10	0.05	50	4	1	0.1	0.1	0.000778337583783906	0.000786107919890681	0.000787806293281949	30	5802291.97279572	-1.2165299087846	-0.998324668969319
2	12	10	0.05	50	4	1	-0.1	0.3	0.000778337583783906	0.0007557239781455	0.000756410896013105	31	78779.145297879	2.81711794825631	2.90537243858506
2	12	10	0.05	50	4	1	0	0.3	0.000778337583783906	0.000775366603596802	0.000779447118998995	32	843207.27689031	-0.142551925823153	0.381708432048344
2	12	10	0.05	50	4	1	0.1	0.3	0.000778337583783906	0.000785321437439684	0.00078712169877454	33	3306612.65925535	-1.12857392134778	-0.897278224934994
2	12	10	0.05	50	4	1	-0.1	0.5	0.000778337583783906	0.00076561731346927	0.000764520962273429	34	27012.6207901036	1.77514510391581	1.63428704711853
2	12	10	0.05	50	4	1	0	0.5	0.000778337583783906	0.000770688790452972	0.000774790287094281	35	460248.925772004	0.455752974484402	0.982708980048153
2	12	10	0.05	50	4	1	0.1	0.5	0.000778337583783906	0.000785088549010886	0.000787001289648599	36	2018874.60046972	-1.11310388258197	-0.867356962792454
2	12	10	0.05	50	5	1	-0.1	0.1	0.000777684825618917	0.000723982343702465	0.000724984678994544	37	354748.699777264	6.77654300152152	6.90543008521649
2	12	10	0.05	50	5	1	0	0.1	0.000777684825618917	0.000772652116353657	0.000774794337564859	38	2245021.81548568	0.37167859765791	0.647139959463072
2	12	10	0.05	50	5	1	0.1	0.1	0.000777684825618917	0.000774944576721071	0.000776149816486292	39	7156685.59438652	0.197381906147376	0.352359825931492
2	12	10	0.05	50	5	1	-0.1	0.3	0.000777684825618917	0.0007278568068251	0.000728440132114002	40	116538.783120735	6.33221735626952	6.40722528617713
2	12	10	0.05	50	5	1	0	0.3	0.000777684825618917	0.000772657155020608	0.000775234027765182	41	1121149.82849137	0.315140243579326	0.646492053423797
2	12	10	0.05	50	5	1	0.1	0.3	0.000777684825618917	0.000775007880077287	0.000776371502164146	42	4052282.17758637	0.168876055119871	0.34421985018156
2	12	10	0.05	50	5	1	-0.1	0.5	0.000777684825618917	0.000723298793613278	0.000722992131282168	43	39459.8420393453	7.03275832767113	6.9933256010694
2	12	10	0.05	50	5	1	0	0.5	0.000777684825618917	0.000772423236774836	0.000775168798117453	44	608290.986858301	0.323527914983068	0.676570851166391
2	12	10	0.05	50	5	1	0.1	0.5	0.000777684825618917	0.000775202067878797	0.0007765561489159	45	2451479.57974796	0.14513292092585	0.319249862969218
2	12	10	0.05	50	6	1	-0.1	0.1	0.000772773381993755	0.000720651926870994	0.000721262353715748	46	277369.215353902	6.66573532140929	6.74472702311346
2	12	10	0.05	50	6	1	0	0.1	0.000772773381993755	0.000771145736755404	0.000773544457210767	47	2148893.24378608	-0.0997802505856127	0.210623874511717
2	12	10	0.05	50	6	1	0.1	0.1	0.000772773381993755	0.00076530979757003	0.000766556088877263	48	7095221.46169746	0.804542866169966	0.965818000157859
2	12	10	0.05	50	6	1	-0.1	0.3	0.000772773381993755	0.000713409450467622	0.000713012487965025	49	76979.9568779447	7.73330130426422	7.68193275148449
2	12	10	0.05	50	6	1	0	0.3	0.000772773381993755	0.000771773395475437	0.000774877960071272	50	1071153.68406834	-0.272340912168501	0.129402298476855
2	12	10	0.05	50	6	1	0.1	0.3	0.000772773381993755	0.000764830556949069	0.00076616813320128	51	4029344.82019078	0.854745899170717	1.02783367410931
2	12	10	0.05	50	6	1	-0.1	0.5	0.000772773381993755	0.00072183047762135	0.000719117358641396	52	13432.4702995367	6.94330635637652	6.59221779106466
2	12	10	0.05	50	6	1	0	0.5	0.000772773381993755	0.000774716358514747	0.000777990132856485	53	582283.625418562	-0.67506865327982	-0.251429017389238
2	12	10	0.05	50	6	1	0.1	0.5	0.000772773381993755	0.000764686436189724	0.000766213188557288	54	2452425.54105376	0.848915553941709	1.04648348305766
2	12	10	0.05	50	7	1	-0.1	0.1	0.000849081753205078	0.000791586259766935	0.000791959191051662	55	272134.442467811	6.72756915783336	6.77149087483175
2	12	10	0.05	50	7	1	0	0.1	0.000849081753205078	0.000843179898716505	0.000845016281357498	56	1835889.79339209	0.478808057319968	0.695086717656379
2	12	10	0.05	50	7	1	0.1	0.1	0.000849081753205078	0.000850725534559793	0.000851738888823996	57	5981073.46402146	-0.312942258962412	-0.193595180736117
2	12	10	0.05	50	7	1	-0.1	0.3	0.000849081753205078	0.000790351501508893	0.000789895538263309	58	89102.8470623203	6.97061439824317	6.91691365106978
2	12	10	0.05	50	7	1	0	0.3	0.000849081753205078	0.000841780546145391	0.00084408437512515	59	914154.703344612	0.588562651483615	0.859894472131451
2	12	10	0.05	50	7	1	0.1	0.3	0.000849081753205078	0.000850535615075878	0.00085160511971816	60	3383204.40230845	-0.2971876975989	-0.171227548503028
2	12	10	0.05	50	7	1	-0.1	0.5	0.000849081753205078	0.000795659521402847	0.000793197588367162	61	27330.1001635183	6.58171779418967	6.29176538072741
2	12	10	0.05	50	7	1	0	0.5	0.000849081753205078	0.000842002145617603	0.000844767353018556	62	496529.07800833	0.508125415513405	0.833795751793143
2	12	10	0.05	50	7	1	0.1	0.5	0.000849081753205078	0.000850429348719319	0.000851528221547684	63	2054415.01247087	-0.288131070226294	-0.158712103887981
2	12	10	0.05	50	8	1	-0.1	0.1	0.000766768239375006	0.000777596401294126	0.000778189801130574	64	196557.567213352	-1.48957157704881	-1.41218185144785
2	12	10	0.05	50	8	1	0	0.1	0.000766768239375006	0.000770162594359669	0.000771426369150217	65	1589249.11474263	-0.60750165904202	-0.44268330511823
2	12	10	0.05	50	8	1	0.1	0.1	0.000766768239375006	0.000785038291541418	0.000785160679456944	66	5355533.43063648	-2.39869612973662	-2.38273460326204
2	12	10	0.05	50	8	1	-0.1	0.3	0.000766768239375006	0.000798530192284494	0.000796217377887907	67	56122.0615964442	-3.84068314265396	-4.14231462369596
2	12	10	0.05	50	8	1	0	0.3	0.000766768239375006	0.000768169715626156	0.000769708547087839	68	785580.104808294	-0.383467593184239	-0.182777034725845
2	12	10	0.05	50	8	1	0.1	0.3	0.000766768239375006	0.000784947931325174	0.000785269018154669	69	3017321.02834804	-2.41282539229091	-2.3709500493899
2	12	10	0.05	50	8	1	-0.1	0.5	0.000766768239375006	0.00084601755002977	0.000834198879889551	70	12404.8987758175	-8.79413583555666	-10.3354972969877
2	12	10	0.05	50	8	1	0	0.5	0.000766768239375006	0.000766246471627463	0.000767902980569472	71	424494.732022096	-0.147990114378005	0.068047647352909
2	12	10	0.05	50	8	1	0.1	0.5	0.000766768239375006	0.000784897079498246	0.000785232622678058	72	1825959.61923384	-2.40807878507097	-2.36431808104318
2	12	10	0.05	50	9	1	-0.1	0.1	0.000799648918304735	0.000801312783196085	0.000799978935903879	73	132749.768262578	-0.0412703114567092	-0.208074425321225
2	12	10	0.05	50	9	1	0	0.1	0.000799648918304735	0.00080598676076687	0.000807373211270125	74	1288010.09999206	-0.965960534501331	-0.792578132359778
2	12	10	0.05	50	9	1	0.1	0.1	0.000799648918304735	0.000827855487299443	0.00082817193084891	75	4578271.39426387	-3.56694192804561	-3.52736911775064
2	12	10	0.05	50	9	1	-0.1	0.3	0.000799648918304735	0.000828951075593102	0.000822464681655976	76	32087.7252832822	-2.85322256167249	-3.66437778100017
2	12	10	0.05	50	9	1	0	0.3	0.000799648918304735	0.000804038829749252	0.000805677965500979	77	635401.508548664	-0.753961777254109	-0.548979851535769
2	12	10	0.05	50	9	1	0.1	0.3	0.000799648918304735	0.000828070982141778	0.000828470266563304	78	2585980.46415522	-3.60425026518765	-3.55431779952859
2	12	10	0.05	50	9	1	-0.1	0.5	0.000799648918304735	0.000884729391299056	0.000869114638037412	79	6748.89633269733	-8.68702728691806	-10.6397283916413
2	12	10	0.05	50	9	1	0	0.5	0.000799648918304735	0.000802134987247745	0.000804024121173067	80	342376.227338844	-0.547140472297247	-0.310895054829841
2	12	10	0.05	50	9	1	0.1	0.5	0.000799648918304735	0.000828764453995158	0.00082917315135471	81	1561920.50464476	-3.69214943885205	-3.64103983935207
2	12	10	0.05	50	10	1	-0.1	0.1	0.000787948874388275	0.000699665143533856	0.000702168047639449	82	183372.321206991	10.8865980442477	11.2042460778889
2	12	10	0.05	50	10	1	0	0.1	0.000787948874388275	0.000766570991643004	0.000771057445219985	83	1426101.81235066	2.14372146687858	2.71310530925848
2	12	10	0.05	50	10	1	0.1	0.1	0.000787948874388275	0.000768548713000338	0.000771324787124466	84	5098749.18633305	2.10979262794367	2.46210915689149
2	12	10	0.05	50	10	1	-0.1	0.3	0.000787948874388275	0.000685386140596637	0.000687584290131064	85	59118.9262014354	12.7374487761187	13.016419862426
2	12	10	0.05	50	10	1	0	0.3	0.000787948874388275	0.000758783228123733	0.000763448285541105	86	704892.559097426	3.10941352206267	3.70146429705668
2	12	10	0.05	50	10	1	0.1	0.3	0.000787948874388275	0.000767868185229641	0.000770894331607435	87	2880126.44218905	2.16442250699068	2.54847615262142
2	12	10	0.05	50	10	1	-0.1	0.5	0.000787948874388275	0.00067771197790667	0.000678622079320497	88	19706.4911323309	13.87485896882	13.9903615659313
2	12	10	0.05	50	10	1	0	0.5	0.000787948874388275	0.000751535695721364	0.000756449080050982	89	379577.155368583	3.99769520094158	4.62126158821922
2	12	10	0.05	50	10	1	0.1	0.5	0.000787948874388275	0.000767202606625635	0.000770414571381663	90	1744762.968748	2.22530973474957	2.63294592288701
2	12	10	0.05	50	1	2	-0.1	0.1	0.000797637352726758	0.000776611449246086	0.000777342732418305	91	202577.990706035	2.54434176622683	2.63602292555553
2	12	10	0.05	50	1	2	0	0.1	0.000797637352726758	0.000798023120185358	0.000800269872940189	92	1542185.85800355	-0.330039736031917	-0.0483637654732805
2	12	10	0.05	50	1	2	0.1	0.1	0.000797637352726758	0.00081323273477323	0.000814217867848288	93	5298220.65322182	-2.07870344397103	-1.95519705705334
2	12	10	0.05	50	1	2	-0.1	0.3	0.000797637352726758	0.000782134383922395	0.000780376263253055	94	62735.3456907348	2.16402722549224	1.94361118512887
2	12	10	0.05	50	1	2	0	0.3	0.000797637352726758	0.000796474184744001	0.000798982370859369	95	764827.723686722	-0.168625269116718	0.145826669072147
2	12	10	0.05	50	1	2	0.1	0.3	0.000797637352726758	0.00081338412691917	0.000814558282173138	96	2992748.63074217	-2.12138127540478	-1.9741771293158
2	12	10	0.05	50	1	2	-0.1	0.5	0.000797637352726758	0.000796465146002329	0.000794256974871091	97	21420.0698293313	0.423798840928225	0.14695985843961
2	12	10	0.05	50	1	2	0	0.5	0.000797637352726758	0.000796488229993274	0.000799388331744973	98	413012.497283308	-0.219520689725616	0.144065812559524
2	12	10	0.05	50	1	2	0.1	0.5	0.000797637352726758	0.00081376118731816	0.000814841038530341	99	1810483.71152453	-2.15683051260971	-2.02144928848706
2	12	10	0.05	50	2	2	-0.1	0.1	0.000755008471971677	0.00067222402531894	0.000673621670792545	100	175661.562439514	10.7795878060273	10.9647043345816
2	12	10	0.05	50	2	2	0	0.1	0.000755008471971677	0.000729381276419418	0.000732940082663529	101	1455337.17024686	2.92293267259868	3.39429244884286
2	12	10	0.05	50	2	2	0.1	0.1	0.000755008471971677	0.000735666739635765	0.00073781543295354	102	5216011.09367515	2.27719815821902	2.56179010619596
